"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2"
"f5","walh",1,"a","modal","H",153,1.9015,5.4165,-15.046,-20.612,-10.993,1.493,-3.515,20.4625,22.514,12.895,0.408,-11.406,25.7335,22.435,-0.307593765166369,23.175,21.2995,28.289,29.588,0.67,0.027,166.906,715.8345,1460.541
"f5","walh",2,"a","modal","H",125,-3.61,2.447,-11.17,-26.167,-22.027,-11.4625,-6.057,13.617,22.557,18.4175,7.853,1.771,21.0545,22.9285,-0.812479279163537,33.487,32.1655,36.8225,39.058,0.721,0.0155,161.073,941.563,1525.4745
"f5","walh",3,"a","modal","H",135,1.051,2.413,-11.185,-27.481,-22.5105,-7.4005,-1.3625,13.598,28.5315,23.5615,8.4515,2.4435,22.315,24.2435,-0.948847477552619,39.346,40.3865,44.226,44.97,0.806,0.036,163.2355,927.473,1531.1345
"f5","xa7ag",1,"a","laryngealized","L",131,1.9385,1.625,-10.0565,-20.7385,-16.2535,-5.7905,0.3135,11.682,22.6775,18.1915,7.7295,-4.511,29.2115,25.1215,-0.872895201635192,41.324,42.699,45.329,46.1635,0.579,0.0365,155.5095,524.1805,1408.8705
"f5","xa7ag",2,"a","laryngealized","L",175,3.2465,-4.0385,3.9945,-17.213,-6.3665,3.3625,7.285,-8.033,20.459,9.6125,-0.1165,-1.228,37.9675,26.827,-0.7972393126068,44.664,45.9115,49.203,49.032,0.336,0.06,154.76,351.6595,1475.1025
"f5","xa7ag",3,"a","laryngealized","L",137,6.0245,-2.6155,2.005,-20.207,-13.027,-6.6145,8.64,-4.6205,26.2315,19.051,12.639,6.6795,28.832,25.628,-0.805485658117533,43.2955,45.8165,48.3685,48.4235,0.79,0.06,152.288,492.39,1604.4265
"f5","xkal",1,"a","modal","L",172,3.9405,1.636,-4.631,-30.7275,-23.1415,-15.2945,2.3045,6.267,34.668,27.082,19.2345,11.073,17.768,28.1455,-0.855425792390384,47.7235,46.859,49.261,51.142,0.3735,0.068,154.244,938.011,1701.3265
"f5","xkal",2,"a","modal","L",175,4.348,-1.1995,7.2055,-6.915,-0.8975,7.6125,5.5475,-8.405,11.263,5.246,-3.264,1.261,41.167,22.748,-0.939302159646388,43.9195,45.462,45.2445,45.865,0.8245,0.051,144.1945,263.2065,1663.061
"f5","xkal",3,"a","modal","L",193,3.064,-2.6575,6.8215,-7.3115,-1.3335,-2.5295,5.7215,-9.479,10.3755,4.3975,5.5935,2.8545,39.68,24.0955,-0.954677021213343,45.3775,45.7775,46.1695,45.79,0.681,0.044,143.5695,274.393,1652.455
"f5","xmanh",1,"a","modal","F",177,1.2695,0.1585,-5.2105,-17.518,-5.5595,-2.9725,1.1115,5.369,18.788,6.8295,4.243,-2.246,28.1445,21.722,-0.517841304588724,31.277,32.2945,35.103,35.9845,0.424,0.0315,175.23,448.8165,1550.566
"f5","xmanh",2,"a","modal","F",126,4.7105,-3.65,2.1805,-6.586,-8.769,4.6105,8.361,-5.83,11.2975,13.4805,0.1,2.645,32.3645,23.3135,-0.678815972697686,37.184,39.6095,44.4315,43.7875,0.5685,0.076,171.1085,318.2055,1566.9055
